subject,trial,block,group,corrRT
3101,1,1,0,889
3101,2,1,0,905
3101,3,1,0,873
3101,4,1,0,799
3101,5,1,0,971
3101,6,1,0,734
3101,7,1,0,900
3101,8,1,0,777
3101,9,1,0,778
3101,10,1,0,1229
3101,11,1,0,708
3101,13,1,0,999
3101,14,1,0,1209
3101,15,1,0,856
3101,16,1,0,825
3101,17,1,0,732
3101,18,1,0,1537
3101,19,1,0,866
3101,20,1,0,896
3101,21,1,0,833
3101,22,1,0,831
3101,23,1,0,726
3101,24,1,0,867
3101,25,1,0,1183
3101,26,1,0,1083
3101,27,1,0,1689
3101,28,1,0,883
3101,30,1,0,1702
3101,31,1,0,1957
3101,32,1,0,994.9097222
3101,33,1,0,1178
3101,34,1,0,1529
3101,35,1,0,1576
3101,36,1,0,1567
3101,37,1,0,2149
3101,38,1,0,1248
3101,39,1,0,1049
3101,40,1,0,876
3101,41,1,0,1260
3101,42,1,0,1068
3101,43,1,0,1108
3101,44,1,0,974
3101,45,1,0,1076
3101,46,1,0,1892
3101,47,1,0,848
3101,48,1,0,961
3101,1,2,0,2144
3101,2,2,0,1219
3101,3,2,0,1577
3101,4,2,0,1172
3101,5,2,0,1084
3101,6,2,0,891
3101,7,2,0,1355
3101,8,2,0,1361
3101,9,2,0,831
3101,10,2,0,1164
3101,11,2,0,972
3101,12,2,0,733
3101,13,2,0,995
3101,14,2,0,1221
3101,15,2,0,1105
3101,16,2,0,1110
3101,17,2,0,835
3101,18,2,0,1737
3101,19,2,0,1331
3101,20,2,0,1586
3101,21,2,0,1372
3101,22,2,0,1033
3101,23,2,0,1049
3101,24,2,0,967
3101,25,2,0,1376
3101,26,2,0,880
3101,27,2,0,936
3101,28,2,0,1011
3101,29,2,0,1140
3101,30,2,0,1197
3101,31,2,0,1334
3101,32,2,0,1044
3101,33,2,0,1014
3101,34,2,0,915
3101,35,2,0,654
3101,36,2,0,1292
3101,37,2,0,977
3101,39,2,0,1217
3101,40,2,0,1131
3101,41,2,0,1765
3101,42,2,0,1362
3101,43,2,0,917
3101,44,2,0,1980
3101,45,2,0,976
3101,46,2,0,813
3101,47,2,0,1263
3101,48,2,0,1561
3101,2,3,0,1239
3101,3,3,0,1090
3101,4,3,0,1084
3101,5,3,0,955
3101,6,3,0,801
3101,7,3,0,1281
3101,8,3,0,1033
3101,9,3,0,791
3101,10,3,0,1088
3101,11,3,0,1324
3101,12,3,0,1112
3101,13,3,0,1943
3101,14,3,0,1486
3101,15,3,0,1208
3101,16,3,0,1045
3101,17,3,0,986
3101,18,3,0,1750
3101,19,3,0,742
3101,20,3,0,603
3101,21,3,0,1132
3101,22,3,0,700
3101,23,3,0,997
3101,24,3,0,991
3101,25,3,0,968
3101,26,3,0,770
3101,27,3,0,1266
3101,28,3,0,1075
3101,29,3,0,963
3101,30,3,0,1183
3101,31,3,0,816
3101,32,3,0,616
3101,33,3,0,1057
3101,34,3,0,1131
3101,35,3,0,1389
3101,36,3,0,1577
3101,37,3,0,1121
3101,38,3,0,812
3101,39,3,0,936
3101,40,3,0,880
3101,41,3,0,1360
3101,42,3,0,974
3101,43,3,0,1185
3101,44,3,0,1116
3101,45,3,0,878
3101,46,3,0,1873
3101,48,3,0,942
3101,1,4,0,994.9097222
3101,2,4,0,852
3101,3,4,0,1333
3101,4,4,0,1145
3101,5,4,0,1237
3101,6,4,0,1055
3101,7,4,0,711
3101,8,4,0,1092
3101,9,4,0,1369
3101,10,4,0,766
3101,11,4,0,939
3101,12,4,0,968
3101,13,4,0,2276
3101,14,4,0,1755
3101,15,4,0,942
3101,16,4,0,1361
3101,17,4,0,1122
3101,18,4,0,913
3101,19,4,0,1146
3101,20,4,0,973
3101,21,4,0,1287
3101,22,4,0,1327
3101,23,4,0,1186
3101,24,4,0,1248
3101,25,4,0,2110
3101,26,4,0,1136
3101,27,4,0,1505
3101,28,4,0,1440
3101,29,4,0,1915
3101,30,4,0,934
3101,31,4,0,1125
3101,32,4,0,1203
3101,33,4,0,803
3101,34,4,0,789
3101,35,4,0,1317
3101,36,4,0,1282
3101,37,4,0,1146
3101,38,4,0,877
3101,39,4,0,807
3101,40,4,0,931
3101,41,4,0,1230
3101,42,4,0,2082
3101,43,4,0,1713
3101,44,4,0,1188
3101,45,4,0,1180
3101,46,4,0,1241
3101,47,4,0,1280
3101,48,4,0,997
3101,1,5,0,1619
3101,2,5,0,1170
3101,3,5,0,1012
3101,4,5,0,893
3101,5,5,0,1163
3101,6,5,0,861
3101,9,5,0,2074
3101,10,5,0,1366
3101,11,5,0,1377
3101,12,5,0,1206
3101,13,5,0,1220
3101,15,5,0,884
3101,16,5,0,1174
3101,17,5,0,979
3101,18,5,0,894
3101,19,5,0,785
3101,20,5,0,712
3101,21,5,0,721
3101,22,5,0,929
3101,23,5,0,979
3101,24,5,0,792
3101,25,5,0,963
3101,26,5,0,1469
3101,27,5,0,1354
3101,28,5,0,1109
3101,29,5,0,1553
3101,30,5,0,1045
3101,31,5,0,1016
3101,32,5,0,1303
3101,33,5,0,798
3101,34,5,0,1101
3101,35,5,0,1029
3101,36,5,0,1023
3101,37,5,0,669
3101,38,5,0,1263
3101,39,5,0,913
3101,40,5,0,792
3101,41,5,0,1776
3101,42,5,0,1129
3101,43,5,0,1147
3101,44,5,0,1669
3101,45,5,0,1168
3101,46,5,0,949
3101,47,5,0,831
3101,48,5,0,707
3101,1,6,0,1097
